s_km grade_pct kappa vmax_kmh
43.02000 -0.28273 0.00119 64.37376
43.12000 -0.16361 0.00114 64.37376
43.22000 0.05055 0.00107 64.37376
43.32000 0.34175 0.00111 64.37376
43.42000 0.63307 0.00068 64.37376
43.52000 0.85836 0.00010 64.37376
43.62000 0.99177 0.00001 64.37376
43.72000 1.02902 0.00005 64.37376
43.82000 0.99089 -0.00001 64.37376
43.92000 0.94015 -0.00011 64.37376
44.02000 0.91052 -0.00057 64.37376
44.12000 0.89406 -0.00109 64.37376
44.22000 0.89222 -0.00114 64.37376
44.32000 0.89364 -0.00114 64.37376
44.42000 0.89592 -0.00118 64.37376
44.52000 0.90027 -0.00119 64.37376
44.62000 0.90383 -0.00110 64.37376
44.72000 0.91530 -0.00102 64.37376
44.82000 0.93416 -0.00124 64.37376
44.92000 0.93392 -0.00117 64.37376
45.02000 0.92448 -0.00064 64.37376
45.12000 0.92493 -0.00010 64.37376
45.22000 0.94069 -0.00001 64.37376
45.32000 0.96351 -0.00001 64.37376
45.42000 0.98797 -0.00000 64.37376
45.52000 1.00414 -0.00001 64.37376
45.62000 1.00274 -0.00001 64.37376
45.72000 0.98663 -0.00001 64.37376
45.82000 0.97072 -0.00000 64.37376
45.92000 0.95522 0.00004 64.37376
46.02000 0.95166 0.00002 64.37376
46.12000 0.96247 -0.00002 64.37376
46.22000 0.98398 -0.00001 64.37376
46.32000 1.00633 0.00001 64.37376
46.42000 1.02714 0.00001 64.37376
46.52000 1.02467 -0.00000 64.37376
46.62000 0.99374 -0.00000 64.37376
46.72000 0.91146 0.00002 64.37376
46.82000 0.78174 0.00002 64.37376
46.92000 0.62354 -0.00001 64.37376
47.02000 0.44724 -0.00003 64.37376
47.12000 0.27886 -0.00000 64.37376
47.22000 0.14385 0.00000 64.37376
47.32000 0.05175 -0.00002 64.37376
47.42000 0.00532 0.00000 64.37376
47.52000 -0.00634 0.00003 64.37376
47.62000 -0.00278 -0.00000 64.37376
47.72000 -0.00124 -0.00001 64.37376
47.82000 -0.00942 0.00000 64.37376
47.92000 -0.02470 0.00001 64.37376
48.02000 -0.04227 0.00000 64.37376
48.12000 -0.06446 -0.00003 64.37376
48.22000 -0.08673 -0.00002 64.37376
48.32000 -0.10584 0.00005 64.37376
48.42000 -0.12096 0.00024 64.37376
48.52000 -0.12730 0.00039 64.37376
48.62000 -0.12614 0.00024 64.37376
48.72000 -0.11427 0.00024 64.37376
48.82000 -0.08638 0.00029 64.37376
48.92000 -0.05871 0.00028 64.37376
49.02000 -0.02870 0.00028 64.37376
